date,time,planet1,planet2,aspect,aspect_abbrev,angle,planet1_lon,planet2_lon,description
2028.10.13,00:00,Neptune,Pluto,Sextile,Sext,59.6149,7.5491,307.9342,Neptune-Pluto Sext
2028.10.14,00:00,Jupiter,Pluto,Trine,Trine,119.0258,188.9129,307.9387,Jupiter-Pluto Trine
2028.10.14,00:00,Saturn,Pluto,Square,Sq,89.2842,37.2228,307.9387,Saturn-Pluto Sq
2028.10.14,00:00,Neptune,Pluto,Sextile,Sext,59.6166,7.5552,307.9387,Neptune-Pluto Sext
2028.10.15,00:00,Saturn,Pluto,Square,Sq,89.3155,37.2586,307.9431,Saturn-Pluto Sq
2028.10.15,00:00,Neptune,Pluto,Sextile,Sext,59.6182,7.5613,307.9431,Neptune-Pluto Sext
2028.10.16,00:00,Saturn,Pluto,Square,Sq,89.3468,37.2944,307.9476,Saturn-Pluto Sq
2028.10.16,00:00,Neptune,Pluto,Sextile,Sext,59.6198,7.5674,307.9476,Neptune-Pluto Sext
2028.10.17,00:00,Saturn,Pluto,Square,Sq,89.3781,37.3302,307.9521,Saturn-Pluto Sq
2028.10.17,00:00,Neptune,Pluto,Sextile,Sext,59.6215,7.5735,307.9521,Neptune-Pluto Sext
2028.10.18,00:00,Saturn,Pluto,Square,Sq,89.4094,37.3659,307.9565,Saturn-Pluto Sq
2028.10.18,00:00,Neptune,Pluto,Sextile,Sext,59.6231,7.5796,307.9565,Neptune-Pluto Sext
2028.10.19,00:00,Saturn,Pluto,Square,Sq,89.4407,37.4017,307.9610,Saturn-Pluto Sq
2028.10.19,00:00,Neptune,Pluto,Sextile,Sext,59.6247,7.5857,307.9610,Neptune-Pluto Sext
2028.10.20,00:00,Saturn,Pluto,Square,Sq,89.4720,37.4375,307.9654,Saturn-Pluto Sq
2028.10.20,00:00,Neptune,Pluto,Sextile,Sext,59.6264,7.5918,307.9654,Neptune-Pluto Sext
2028.10.21,00:00,Saturn,Pluto,Square,Sq,89.5033,37.4733,307.9699,Saturn-Pluto Sq
2028.10.21,00:00,Neptune,Pluto,Sextile,Sext,59.6280,7.5979,307.9699,Neptune-Pluto Sext
2028.10.22,00:00,Saturn,Pluto,Square,Sq,89.5347,37.5091,307.9744,Saturn-Pluto Sq
2028.10.22,00:00,Neptune,Pluto,Sextile,Sext,59.6296,7.6040,307.9744,Neptune-Pluto Sext
2028.10.23,00:00,Saturn,Pluto,Square,Sq,89.5660,37.5448,307.9788,Saturn-Pluto Sq
2028.10.23,00:00,Neptune,Pluto,Sextile,Sext,59.6313,7.6101,307.9788,Neptune-Pluto Sext
2028.10.24,00:00,Saturn,Pluto,Square,Sq,89.5973,37.5806,307.9833,Saturn-Pluto Sq
2028.10.24,00:00,Neptune,Pluto,Sextile,Sext,59.6329,7.6162,307.9833,Neptune-Pluto Sext
2028.10.25,00:00,Saturn,Pluto,Square,Sq,89.6286,37.6164,307.9878,Saturn-Pluto Sq
2028.10.25,00:00,Neptune,Pluto,Sextile,Sext,59.6345,7.6223,307.9878,Neptune-Pluto Sext
2028.10.26,00:00,Saturn,Pluto,Square,Sq,89.6600,37.6522,307.9922,Saturn-Pluto Sq
2028.10.26,00:00,Neptune,Pluto,Sextile,Sext,59.6361,7.6284,307.9922,Neptune-Pluto Sext
2028.10.27,00:00,Saturn,Pluto,Square,Sq,89.6913,37.6880,307.9967,Saturn-Pluto Sq
2028.10.27,00:00,Neptune,Pluto,Sextile,Sext,59.6378,7.6345,307.9967,Neptune-Pluto Sext
2028.10.28,00:00,Saturn,Pluto,Square,Sq,89.7226,37.7238,308.0012,Saturn-Pluto Sq
2028.10.28,00:00,Neptune,Pluto,Sextile,Sext,59.6394,7.6405,308.0012,Neptune-Pluto Sext
2028.10.29,00:00,Saturn,Pluto,Square,Sq,89.7540,37.7596,308.0056,Saturn-Pluto Sq
2028.10.29,00:00,Neptune,Pluto,Sextile,Sext,59.6410,7.6466,308.0056,Neptune-Pluto Sext
2028.10.30,00:00,Saturn,Pluto,Square,Sq,89.7853,37.7954,308.0101,Saturn-Pluto Sq
2028.10.30,00:00,Neptune,Pluto,Sextile,Sext,59.6427,7.6527,308.0101,Neptune-Pluto Sext
2028.10.31,00:00,Saturn,Pluto,Square,Sq,89.8167,37.8312,308.0145,Saturn-Pluto Sq
2028.10.31,00:00,Neptune,Pluto,Sextile,Sext,59.6443,7.6588,308.0145,Neptune-Pluto Sext
2028.11.01,00:00,Saturn,Pluto,Square,Sq,89.8480,37.8670,308.0190,Saturn-Pluto Sq
2028.11.01,00:00,Neptune,Pluto,Sextile,Sext,59.6459,7.6649,308.0190,Neptune-Pluto Sext
2028.11.02,00:00,Saturn,Pluto,Square,Sq,89.8794,37.9028,308.0234,Saturn-Pluto Sq
2028.11.02,00:00,Neptune,Pluto,Sextile,Sext,59.6476,7.6710,308.0234,Neptune-Pluto Sext
2028.11.03,00:00,Saturn,Pluto,Square,Sq,89.9107,37.9386,308.0279,Saturn-Pluto Sq
2028.11.03,00:00,Neptune,Pluto,Sextile,Sext,59.6492,7.6771,308.0279,Neptune-Pluto Sext
2028.11.04,00:00,Saturn,Pluto,Square,Sq,89.9421,37.9744,308.0324,Saturn-Pluto Sq
2028.11.04,00:00,Neptune,Pluto,Sextile,Sext,59.6509,7.6832,308.0324,Neptune-Pluto Sext
2028.11.05,00:00,Saturn,Pluto,Square,Sq,89.9734,38.0102,308.0368,Saturn-Pluto Sq
2028.11.05,00:00,Neptune,Pluto,Sextile,Sext,59.6525,7.6893,308.0368,Neptune-Pluto Sext
2028.11.06,00:00,Saturn,Pluto,Square,Sq,90.0047,38.0460,308.0413,Saturn-Pluto Sq
2028.11.06,00:00,Neptune,Pluto,Sextile,Sext,59.6541,7.6954,308.0413,Neptune-Pluto Sext
2028.11.07,00:00,Saturn,Pluto,Square,Sq,90.0361,38.0818,308.0457,Saturn-Pluto Sq
2028.11.07,00:00,Neptune,Pluto,Sextile,Sext,59.6557,7.7015,308.0457,Neptune-Pluto Sext
2028.11.08,00:00,Saturn,Pluto,Square,Sq,90.0675,38.1177,308.0502,Saturn-Pluto Sq
2028.11.08,00:00,Neptune,Pluto,Sextile,Sext,59.6574,7.7076,308.0502,Neptune-Pluto Sext
2028.11.09,00:00,Saturn,Pluto,Square,Sq,90.0988,38.1535,308.0547,Saturn-Pluto Sq
2028.11.09,00:00,Neptune,Pluto,Sextile,Sext,59.6590,7.7137,308.0547,Neptune-Pluto Sext
