date,time,planet1,planet2,aspect,aspect_abbrev,angle,planet1_lon,planet2_lon,description
2028.01.19,00:00,Neptune,Pluto,Sextile,Sext,59.1834,5.9163,306.7329,Neptune-Pluto Sext
2028.01.20,00:00,Neptune,Pluto,Sextile,Sext,59.1850,5.9224,306.7374,Neptune-Pluto Sext
2028.01.21,00:00,Neptune,Pluto,Sextile,Sext,59.1866,5.9285,306.7419,Neptune-Pluto Sext
2028.01.22,00:00,Neptune,Pluto,Sextile,Sext,59.1882,5.9346,306.7464,Neptune-Pluto Sext
2028.01.23,00:00,Neptune,Pluto,Sextile,Sext,59.1898,5.9407,306.7509,Neptune-Pluto Sext
2028.01.24,00:00,Neptune,Pluto,Sextile,Sext,59.1913,5.9468,306.7554,Neptune-Pluto Sext
2028.01.25,00:00,Neptune,Pluto,Sextile,Sext,59.1929,5.9529,306.7599,Neptune-Pluto Sext
2028.01.26,00:00,Neptune,Pluto,Sextile,Sext,59.1945,5.9590,306.7644,Neptune-Pluto Sext
2028.01.27,00:00,Neptune,Pluto,Sextile,Sext,59.1961,5.9651,306.7689,Neptune-Pluto Sext
2028.01.28,00:00,Neptune,Pluto,Sextile,Sext,59.1977,5.9712,306.7734,Neptune-Pluto Sext
2028.01.29,00:00,Neptune,Pluto,Sextile,Sext,59.1993,5.9772,306.7779,Neptune-Pluto Sext
2028.01.30,00:00,Neptune,Pluto,Sextile,Sext,59.2009,5.9833,306.7824,Neptune-Pluto Sext
2028.01.31,00:00,Neptune,Pluto,Sextile,Sext,59.2025,5.9894,306.7869,Neptune-Pluto Sext
2028.02.01,00:00,Neptune,Pluto,Sextile,Sext,59.2041,5.9955,306.7914,Neptune-Pluto Sext
2028.02.02,00:00,Neptune,Pluto,Sextile,Sext,59.2057,6.0016,306.7959,Neptune-Pluto Sext
2028.02.03,00:00,Neptune,Pluto,Sextile,Sext,59.2073,6.0077,306.8004,Neptune-Pluto Sext
2028.02.04,00:00,Neptune,Pluto,Sextile,Sext,59.2089,6.0138,306.8049,Neptune-Pluto Sext
2028.02.05,00:00,Neptune,Pluto,Sextile,Sext,59.2105,6.0199,306.8094,Neptune-Pluto Sext
2028.02.06,00:00,Neptune,Pluto,Sextile,Sext,59.2121,6.0260,306.8139,Neptune-Pluto Sext
2028.02.07,00:00,Neptune,Pluto,Sextile,Sext,59.2136,6.0321,306.8184,Neptune-Pluto Sext
2028.02.08,00:00,Neptune,Pluto,Sextile,Sext,59.2152,6.0382,306.8229,Neptune-Pluto Sext
2028.02.09,00:00,Neptune,Pluto,Sextile,Sext,59.2168,6.0443,306.8274,Neptune-Pluto Sext
2028.02.10,00:00,Neptune,Pluto,Sextile,Sext,59.2184,6.0503,306.8319,Neptune-Pluto Sext
